Date,Open,High,Low,Close
09/06/2022,"2.68486%","2.68486%","2.68486%","2.68486%"
09/05/2022,"2.64286%","2.64286%","2.64286%","2.64286%"
09/02/2022,"2.65571%","2.65571%","2.65571%","2.65571%"
09/01/2022,"2.63329%","2.63329%","2.63329%","2.63329%"
08/31/2022,"2.55343%","2.55343%","2.55343%","2.55343%"
08/30/2022,"2.56400%","2.56400%","2.56400%","2.56400%"
08/26/2022,"2.52386%","2.52386%","2.52386%","2.52386%"
08/25/2022,"2.49343%","2.49343%","2.49343%","2.49343%"
08/24/2022,"2.45486%","2.45486%","2.45486%","2.45486%"
08/23/2022,"2.44371%","2.44371%","2.44371%","2.44371%"
08/22/2022,"2.42743%","2.42743%","2.42743%","2.42743%"
08/19/2022,"2.38671%","2.38671%","2.38671%","2.38671%"
08/18/2022,"2.36814%","2.36814%","2.36814%","2.36814%"
08/17/2022,"2.36557%","2.36557%","2.36557%","2.36557%"
08/16/2022,"2.37700%","2.37700%","2.37700%","2.37700%"
08/15/2022,"2.37971%","2.37971%","2.37971%","2.37971%"
08/12/2022,"2.38686%","2.38686%","2.38686%","2.38686%"
08/11/2022,"2.39100%","2.39100%","2.39100%","2.39100%"
08/10/2022,"2.40043%","2.40043%","2.40043%","2.40043%"
08/09/2022,"2.38014%","2.38014%","2.38014%","2.38014%"
08/08/2022,"2.38857%","2.38857%","2.38857%","2.38857%"
08/05/2022,"2.36943%","2.36943%","2.36943%","2.36943%"
08/04/2022,"2.37271%","2.37271%","2.37271%","2.37271%"
08/03/2022,"2.37629%","2.37629%","2.37629%","2.37629%"
08/02/2022,"2.35729%","2.35729%","2.35729%","2.35729%"
08/01/2022,"2.36686%","2.36686%","2.36686%","2.36686%"
07/29/2022,"2.36229%","2.36229%","2.36229%","2.36229%"
07/28/2022,"2.37314%","2.37314%","2.37314%","2.37314%"
07/27/2022,"2.37229%","2.37229%","2.37229%","2.37229%"
07/26/2022,"2.34600%","2.34600%","2.34600%","2.34600%"
07/25/2022,"2.29971%","2.29971%","2.29971%","2.29971%"
07/22/2022,"2.25229%","2.25229%","2.25229%","2.25229%"
07/21/2022,"2.25900%","2.25900%","2.25900%","2.25900%"
07/20/2022,"2.21357%","2.21357%","2.21357%","2.21357%"
07/19/2022,"2.16157%","2.16157%","2.16157%","2.16157%"
07/18/2022,"2.12643%","2.12643%","2.12643%","2.12643%"
07/15/2022,"2.12029%","2.12029%","2.12029%","2.12029%"
07/14/2022,"2.15600%","2.15600%","2.15600%","2.15600%"
07/13/2022,"1.99914%","1.99914%","1.99914%","1.99914%"
07/12/2022,"1.97143%","1.97143%","1.97143%","1.97143%"
07/11/2022,"1.96443%","1.96443%","1.96443%","1.96443%"
07/08/2022,"1.89971%","1.89971%","1.89971%","1.89971%"
07/07/2022,"1.87214%","1.87214%","1.87214%","1.87214%"
07/06/2022,"1.80686%","1.80686%","1.80686%","1.80686%"
07/05/2022,"1.79100%","1.79100%","1.79100%","1.79100%"
07/04/2022,"1.77729%","1.77729%","1.77729%","1.77729%"
07/01/2022,"1.79757%","1.79757%","1.79757%","1.79757%"
06/30/2022,"1.78671%","1.78671%","1.78671%","1.78671%"
06/29/2022,"1.71314%","1.71314%","1.71314%","1.71314%"
06/28/2022,"1.66614%","1.66614%","1.66614%","1.66614%"
06/27/2022,"1.65229%","1.65229%","1.65229%","1.65229%"
06/24/2022,"1.63271%","1.63271%","1.63271%","1.63271%"
06/23/2022,"1.62357%","1.62357%","1.62357%","1.62357%"
